,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
20,415,415,600585.XSHG,600585,海螺水泥,XSHG,2021-02-01,50.44,50.44,50.5,50.6,50.0,50.5,30905188,1555584269,62583,0.0077,1.0,201984981300.0,267614781300.0,0.0012,7.7578,8.1197,1.7661,1,50.333999999999996
21,416,416,600585.XSHG,600585,海螺水泥,XSHG,2021-02-02,50.5,50.5,50.65,50.68,49.5,50.0,59968497,2996886476,108971,0.015,1.0,199985130000.0,264965130000.0,-0.0099,7.681,8.0393,1.7487,1,49.974
22,417,417,600585.XSHG,600585,海螺水泥,XSHG,2021-02-03,50.0,50.0,50.0,50.27,49.2,49.68,33248670,1654804490,65861,0.0083,1.0,198705225168.0,263269353168.0,-0.0064,7.6319,7.9879,1.7375,1,49.771
23,418,418,600585.XSHG,600585,海螺水泥,XSHG,2021-02-04,49.68,49.68,49.59,49.59,48.09,49.0,43365422,2114069332,94333,0.0108,1.0,195985427400.0,259665827400.0,-0.0137,7.5274,7.8785,1.7137,1,48.75
24,419,419,600585.XSHG,600585,海螺水泥,XSHG,2021-02-05,49.0,49.0,48.97,50.77,48.51,50.19,42428143,2113033427,91948,0.0106,1.0,200745073494.0,265971997494.0,0.0243,7.7102,8.0699,1.7553,1,49.803000000000004
25,420,420,600585.XSHG,600585,海螺水泥,XSHG,2021-02-08,50.19,50.19,50.19,51.45,49.94,51.22,36044909,1839985956,76483,0.009000000000000001,1.0,204864767172.0,271430279172.0,0.0205,7.8684,8.2355,1.7913,1,51.047
26,421,421,600585.XSHG,600585,海螺水泥,XSHG,2021-02-09,51.22,51.22,51.39,51.4,50.52,51.12,32553579,1658051259,67263,0.0081,1.0,204464796912.0,270900348912.0,-0.002,7.8531,8.2194,1.7878,1,50.933
27,422,422,600585.XSHG,600585,海螺水泥,XSHG,2021-02-10,51.12,51.12,51.1,52.08,50.68,51.89,33745876,1744901478,70464,0.0084,1.0,207544567914.0,274980811914.0,0.0151,7.9714,8.3432,1.8148,1,51.707
28,423,423,600585.XSHG,600585,海螺水泥,XSHG,2021-02-18,51.89,51.89,52.82,53.79,51.5,51.95,46465186,2437352355,95416,0.0116,1.0,207784550070.0,275298770070.0,0.0012,7.9806,8.3528,1.8169,1,52.455
29,424,424,600585.XSHG,600585,海螺水泥,XSHG,2021-02-19,51.95,51.95,52.09,54.86,51.7,54.66,79049976,4249102977,145841,0.0198,1.0,218623744116.0,289659880116.0,0.0522,8.3969,8.7886,1.9116,1,53.751999999999995
30,425,425,600585.XSHG,600585,海螺水泥,XSHG,2021-02-22,54.66,54.66,55.15,56.2,54.4,54.41,79798068,4411631838,148337,0.02,1.0,217623818466.0,288335054466.0,-0.0046,8.3585,8.7484,1.9029,1,55.285
31,426,426,600585.XSHG,600585,海螺水泥,XSHG,2021-02-23,54.41,54.41,53.6,54.32,52.38,52.5,52371597,2790184181,103881,0.0131,1.0,209984386500.0,278213386500.0,-0.0351,8.0651,8.4413,1.8361,1,53.277
32,427,427,600585.XSHG,600585,海螺水泥,XSHG,2021-02-24,52.5,52.5,52.99,54.14,52.66,53.19,43130900,2302216784,85299,0.0108,1.0,212744181294.0,281869905294.0,0.0131,8.1711,8.5522,1.8602,1,53.376999999999995
33,428,428,600585.XSHG,600585,海螺水泥,XSHG,2021-02-25,53.19,53.19,53.79,54.86,52.8,54.55,49916020,2701689075,92955,0.0125,1.0,218183776830.0,289076956830.0,0.0256,8.38,8.7709,1.9078,1,54.125
34,429,429,600585.XSHG,600585,海螺水泥,XSHG,2021-02-26,54.55,54.55,53.33,54.24,53.01,53.34,31703251,1696862493,65561,0.0079,1.0,213344136684.0,282664800684.0,-0.0222,8.1941,8.5763,1.8655,1,53.523
35,430,430,600585.XSHG,600585,海螺水泥,XSHG,2021-03-01,53.34,53.34,53.34,53.88,52.62,53.14,29281209,1558186043,61495,0.0073,1.0,212544196164.0,281604940164.0,-0.0037,8.1634,8.5442,1.8585,1,53.215
36,431,431,600585.XSHG,600585,海螺水泥,XSHG,2021-03-02,53.14,53.14,53.03,54.44,52.71,53.44,38877001,2085741933,73576,0.0097,1.0,213744106944.0,283194730944.0,0.0056,8.2095,8.5924,1.869,1,53.65
37,432,432,600585.XSHG,600585,海螺水泥,XSHG,2021-03-03,53.44,53.44,53.5,54.4,53.01,54.28,35594009,1918270499,60379,0.0089,1.0,217103857128.0,287646145128.0,0.0157,8.3385,8.7275,1.8983,1,53.893
38,433,433,600585.XSHG,600585,海螺水泥,XSHG,2021-03-04,54.28,54.28,53.83,54.27,53.01,53.28,30060182,1608919017,56152,0.0075,1.0,213104154528.0,282346842528.0,-0.0184,8.1849,8.5667,1.8634,1,53.523
39,434,434,600585.XSHG,600585,海螺水泥,XSHG,2021-03-05,53.28,53.28,52.8,52.92,51.16,51.21,44917195,2320574380,88849,0.0112,1.0,204824770146.0,271377286146.0,-0.0389,7.8669,8.2339,1.791,1,51.663000000000004
40,435,435,600585.XSHG,600585,海螺水泥,XSHG,2021-03-08,51.21,51.21,52.04,52.87,51.05,51.1,36562862,1899074128,76218,0.0091,1.0,204384802860.0,270794362860.0,-0.0021,7.85,8.2162,1.7871,1,51.94
